Brand,Origin,Country,Date,Rating,Text,Platform,Sentiment
Tesco,Local,UK,2025-12-09 00:00:00,3,why are there never any baskets available anywhere near the entrance? so annoying.,Google,Negative
Tesco,Local,UK,2025-12-08 00:00:00,5,what you would expect from a superstore.,Google,Neutral
Tesco,Local,UK,2025-12-07 00:00:00,1,don't even deserve one star some staff are so arrogant as i usually visit there nearly everyday groceries i just went today and there was two staff they were busy talking in self checkout area they didn't seen someone left his empty cofee ...aria-label: read more of div patel's review | more,Google,Negative
Tesco,Local,UK,2025-12-03 00:00:00,5,"great superstore for all your household needs and groceries. 
 a great discount is available with the club card.",Google,Positive
Tesco,Local,UK,2025-12-03 00:00:00,1,i beg. get some more baskets. every time i come here (at least 4 x a week) i have to play basket scavenger hunt.,Google,Positive
Tesco,Local,UK,2025-11-26 00:00:00,5,"there's something undeniably comforting about grabbing a tesco meal deal --- the perfect trio of a main, snack, and drink that always feels like great value and a little treat in the middle of a busy day. whether it's a classic sandwich or ...aria-label: read more of terri suddell's review | more",Google,Positive
Tesco,Local,UK,2025-11-26 00:00:00,1,"some of the staff at the self service have attitude. they don't care about customers. no hi, no smile. they look miserable. they need training on how to give good customer service ! ...aria-label: read more of sara man's review | more",Google,Negative
Tesco,Local,UK,2025-11-10 00:00:00,1,"some staff really need a new personality. either ignore you so they can have personal chit chat, or dismiss you claiming they got colleagues i can ask. and this is managers and staff at self checkout lol getting paid to chillax and chat wow",Google,Positive
Tesco,Local,UK,2025-11-10 00:00:00,2,"why do i have to pay 40p for a plastic bag when everything they sell me is wrapped up in plastic. if they shut at midnight why shut all the entrances at 11.15? you can't get in the place. they are not saving time, just making it impossible ...aria-label: read more of steve riordan's review | more",Google,Negative
Tesco,Local,UK,2025-11-10 00:00:00,1,"another unscrupulous act, being charged full price for a discounted item, was told that the discounted item is different to the one i got. but look at the picture, it's easy for you to overlook. it's a very standard ploy to cheat customers. ...aria-label: read more of jason's review | more",Google,Negative
Tesco,Local,UK,2025-11-10 00:00:00,1,what no fish boullion pots or fish stock cubes,Google,Negative
Tesco,Local,UK,2025-11-10 00:00:00,5,"i would like to express my deepest appreciation to leona who works in tesco's superstore in lewisham. 
 leona is a model of professionalism at the highest level and her customer ...aria-label: read more of aicha sow's review | more",Google,Positive
Tesco,Local,UK,2025-11-10 00:00:00,1,rude & toxic staff on checkouts and always have to search for baskets as none are often available at the entrance.,Google,Negative
Tesco,Local,UK,2025-11-10 00:00:00,2,the men's bathrooms in this place is absolutely vile. and the cashiers never say hello they just look at you waiting for you to say hi to them. you can tell when a place has been given up on because if i see this how does the store manager not see it. sainsbury's up lee high road in lee is much better .,Google,Negative
Tesco,Local,UK,2025-10-10 00:00:00,1,the killer is there,Google,Negative
Tesco,Local,UK,2025-10-10 00:00:00,2,just walked being shouted at by a guard for not knowing their unmarked exit was an exit. ...aria-label: read more of quintin balsdon's review | more,Google,Neutral
Tesco,Local,UK,2025-10-10 00:00:00,5,grace went above and beyond with her customer service! she was incredibly helpful in resolving my situation and i truly appreciate everything she did. outstanding support!,Google,Positive
Tesco,Local,UK,2025-09-10 00:00:00,5,"very nice.little tesco express very convenient, very well.stocks, and it is also directly opposite a sainsbury's local, which is very good if one shop doesn't have what you want.you just have to cross the road",Google,Positive
Tesco,Local,UK,2025-08-10 00:00:00,1,"not reflective of the physical store, but of the delivery: 
 
 i placed a large order earlier in the week, had it booked for friday pm between ...aria-label: read more of tom callaghan's review | more",Google,Neutral
Tesco,Local,UK,2025-07-10 00:00:00,5,"big tesco with clothing, groceries, tesco mobile, cash machine, toilets, plants, bakery etc. the store is clean and the prices are reasonable. also the store is located close to lewisham station..if you are going regularly make sure you get ...aria-label: read more of c hi's review | more",Google,Positive
Tesco,Local,UK,2025-06-10 00:00:00,5,thank you so much to sophie and to her colleague this morning who massively helped me when i felt unwell and did not leave my side for a sec❤️,Google,Positive
Tesco,Local,UK,2025-06-10 00:00:00,5,security guy is really good,Google,Positive
Tesco,Local,UK,2025-06-10 00:00:00,5,groceries and noises,Google,Neutral
Tesco,Local,UK,2025-06-10 00:00:00,5,"they have quite a wide range of products and you can find almost everything you need. but what really made my day is how helpful, patient and professional they bakery lady was. as i have a nuts allergy, i have asked her about the ...aria-label: read more of sarah mcneil's review | more",Google,Positive
Tesco,Local,UK,2025-06-10 00:00:00,2,non-competitive prices and non-functional self check-outs resulting in massive queues even on quieter days. avoid.,Google,Negative
Tesco,Local,UK,2025-05-10 00:00:00,5,great,Google,Positive
Tesco,Local,UK,2025-05-10 00:00:00,5,very friendly staff - special thanks to maz from tesco mobile for going above and beyond to help me with my clubcard app and registration!,Google,Positive
